tq,sizes_RT,p1_turnaround,p2_turnaround,p1_waiting_time,p2_waiting_time,sched_starting,p1_ending,p2_ending
1,5,226224,542804,114712,355929,1120752,1235464,1476681
1,10,196587,562040,33844,382673,1275974,1309818,1658647
1,15,229723,916586,512294,512177,1187247,1699541,1699424
1,20,56866,666843,224372,1800577,1302042,1526414,3102619
1,25,283389,1407809,1105812,1206614,1250090,2355902,2456704
1,30,74735,742206,470505,812549,1148814,1619319,1961363
1,35,83409,770380,988276,481504,1163149,2151425,1644653
1,40,89073,726779,712149,643108,1260042,1972191,1903150
1,45,547749,2237331,2040428,956589,1126222,3166650,2082811
1,50,105495,1187514,1075195,924229,1167521,2242716,2091750
2,5,177898,834140,66111,66276,1414287,1480398,1480563
2,10,50047,471972,491282,324048,1331064,1822346,1655112
2,15,56050,606184,572573,606198,1184573,1757146,1790771
2,20,94654,1320482,595733,1335140,1314454,1910187,2649594
2,25,120009,1229874,488215,546305,1313584,1801799,1859889
2,30,73592,424343,113652,347992,1198147,1311799,1546139
2,35,253986,1517338,600584,626557,1156362,1756946,1782919
2,40,191380,1416545,1592088,1689651,1338636,2930724,3028287
2,45,99504,965382,1149421,1340116,1180651,2330072,2520767
2,50,131684,994773,2156311,1258893,1168777,3325088,2427670
